Messages,Free entropy density,density,entropy density,stability,physical
"[[1.3180402677034877e-05, 0.9999868195699824], [2.7340634100811342e-11, 3.4665570383382565e-28]]",-12.246877078493128,6.654182506734072e-58,-12.246877078493128,False,True
"[[1.4736127354236793e-05, 0.99998526383847], [3.417579262601418e-11, 4.333196297922381e-28]]",-12.135304526796851,7.439607029470412e-58,-12.135304526796851,False,True
"[[1.647547771446175e-05, 0.9999835244795658], [4.271974078251772e-11, 5.416495372402483e-28]]",-12.023731883501036,8.31773954639704e-58,-12.023731883501036,False,True
"[[1.842012714425185e-05, 0.999981579819456], [5.3399675927377095e-11, 9.462228005091893e-28]]",-11.912159138269082,2.5383747221221284e-57,-11.912159138269082,False,True
"[[2.0594307083555578e-05, 0.9999794056261667], [6.674959490922137e-11, 1.1827785006363665e-27]]",-11.800586278062028,2.837991784954901e-57,-11.800586278062028,False,True
"[[2.302510887067039e-05, 0.9999769748076922], [8.34369936547603e-11, 1.3223865650241855e-27]]",-11.689013289730909,2.2703957256785894e-57,-11.689013289730909,False,True
"[[2.5742821296665247e-05, 0.9999742570744071], [1.0429624220703098e-10, 1.1827785015877835e-27]]",-11.577440157719543,9.299551405239411e-58,-11.577440157719543,False,True
"[[2.8781307866228615e-05, 0.9999712185617634], [1.3037030258556296e-10, 2.066229007850005e-27]]",-11.465866867017816,2.838001459841169e-57,-11.465866867017816,False,True
"[[3.217842882182904e-05, 0.9999678214082153], [1.629628782319537e-10, 2.582786259812356e-27]]",-11.354293396744517,3.1729865808991575e-57,-11.354293396744517,False,True
"[[3.5976512616265736e-05, 0.9999640232836803], [2.0370359785215444e-10, 2.8876428246048716e-27]]",-11.242719726293672,2.5383932787979347e-57,-11.242719726293672,False,True
"[[4.022288324979346e-05, 0.9999597768621207], [2.546294972374276e-10, 4.035603530956409e-27]]",-11.131145832513049,3.966246512868246e-57,-11.131145832513049,False,True
"[[4.4970449791633455e-05, 0.9999550292319215], [3.182868715467845e-10, 5.044504413695301e-27]]",-11.019571688547174,4.4344071761963643e-57,-11.019571688547174,False,True
"[[5.027836534750097e-05, 0.9999497212367938], [3.978585894334806e-10, 6.305630517118891e-27]]",-10.90799726503544,4.957828901809623e-57,-10.90799726503544,False,True
"[[5.62127638461848e-05, 0.9999437867388306], [4.973232367918507e-10, 7.882038146398352e-27]]",-10.796422528980699,5.54303492128772e-57,-10.796422528980699,False,True
"[[6.284758369277782e-05, 0.9999371517946531], [6.216540459898133e-10, 9.852547682997646e-27]]",-10.68484744349071,6.197318566255622e-57,-10.68484744349071,False,True
"[[7.026548856069439e-05, 0.9999297337343717], [7.770675573174531e-10, 1.3769353980147818e-26]]",-10.573271967427566,9.683340175367787e-57,-10.573271967427566,False,True
"[[7.855889681696978e-05, 0.9999214401318485], [9.71334446859083e-10, 1.5394605754683043e-26]]",-10.461696054347271,7.746698894450091e-57,-10.461696054347271,False,True
"[[8.783113221199018e-05, 0.9999121676536198], [1.2141680585738538e-09, 1.9243257193353394e-26]]",-10.350119653017522,8.661106109576951e-57,-10.350119653017522,False,True
